Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Product,From Product Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Product,To Product Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-1175,L-0002,1.00,1.00,,,,,,,,ALOAN2 - Loans and acceptances -NIB,ALOAN2,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1176,L-0000,0.00,1.00,ALPRO1 - Provisions on loans,ALPRO1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1176,L-0001,1.00,1.00,,,,,,,,ALPRO1 - Provisions on loans,ALPRO1,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1176,L-0002,1.00,1.00,,,,,,,,ALPRO1 - Provisions on loans,ALPRO1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1177,L-0000,0.00,1.00,LCERD1 - Certificates of deposit liability - IB,LCERD1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1177,L-0001,1.00,1.00,,,,,,,,LCERD1 - Certificates of deposit liability - IB,LCERD1,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1177,L-0002,1.00,1.00,,,,,,,,LCERD1 - Certificates of deposit liability - IB,LCERD1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1178,L-0000,0.00,1.00,LCERD3 - Tailored Deposits and public borrowings - IB,LCERD3,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1178,L-0001,1.00,1.00,,,,,,,,LCERD3 - Tailored Deposits and public borrowings - IB,LCERD3,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1178,L-0002,1.00,1.00,,,,,,,,LCERD3 - Tailored Deposits and public borrowings - IB,LCERD3,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1179,L-0000,0.00,1.00,LCUSD1 - Deposits and public borrowings - IB,LCUSD1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1179,L-0001,1.00,1.00,,,,,,,,LCUSD1 - Deposits and public borrowings - IB,LCUSD1,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1179,L-0002,1.00,1.00,,,,,,,,LCUSD1 - Deposits and public borrowings - IB,LCUSD1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1180,L-0000,0.00,1.00,LCUSD2 - Deposits and public borrowings -NIB,LCUSD2,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1180,L-0001,1.00,1.00,,,,,,,,LCUSD2 - Deposits and public borrowings -NIB,LCUSD2,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1180,L-0002,1.00,1.00,,,,,,,,LCUSD2 - Deposits and public borrowings -NIB,LCUSD2,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1181,L-0000,0.00,1.00,LTDEP2 - Tailored deposits-NIB,LTDEP2,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
